Case Number,Classification,Date/Time Occurred,Date/Time Reported,Location,Disposition
CRM-2025-100,Criminal Mischief,02/03/2025 12:00,02/04/2025 10:54,Visual Arts Building,Inactive
CRM-2025-133,Theft,Between 02/03/2025 11:12 and 02/14/2025 12:25,02/14/2025 12:25,Lot 39 - Hawkeye Storage,Inactive
CRM-2025-95,Simple Assault x2,02/03/2025 09:43,02/03/2025 09:43,General Hospital,Closed - Suspect Arrested
CRM-2025-94,Theft,02/03/2025 01:01,02/03/2025 01:01,Rienow Hall,Inactive
CRM-2025-93,Trespass,02/02/2025 11:30,02/02/2025 11:30,Carver-Hawkeye Arena,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-97,Harassment,Between 02/02/2025 04:00 and 02/02/2025 04:30,02/02/2025 06:25,General Hospital,Inactive
CRM-2025-91,"Harassment, Simple Assault",02/02/2025 01:55,02/02/2025 01:55,General Hospital,Closed - Suspect Arrested
CRM-2025-92,Theft,Between 02/01/2025 14:00 and 02/02/2025 07:20,02/02/2025 08:19,General Hospital,Inactive
CRM-2025-98,Theft,02/01/2025 13:05,02/01/2025 13:05,ED Parking Lot,Inactive
CRM-2025-90,"Falsify Driver's License, Liquor Law Violations",Between 02/01/2025 03:36 and 02/01/2025 04:01,02/01/2025 03:36,Burge Hall,Inactive
CSA-2025-181,Stalking,Between 02/01/2025 00:00 and 03/12/2025 23:59,03/12/2025 08:00,General Hospital,Referred to University - Other
CRM-2025-88,"False Reports, Trespass",01/31/2025 07:15,01/31/2025 07:15,ED Parking Lot,Closed - Suspect Arrested
CSA-2025-131,Liquor Law Violations x2,01/31/2025 02:25,01/31/2025 03:00,Mayflower Hall,Closed - Referred to Office of Student Accountability
CRM-2025-86,Simple Assault x2,01/30/2025 14:00,01/30/2025 15:56,General Hospital,Inactive
CRM-2025-87,Simple Assault,01/30/2025 12:44,01/30/2025 12:44,General Hospital,Inactive
CRM-2025-84,Trespass,01/30/2025 04:19,01/30/2025 04:19,UI Health Care Medical Center Downtown,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-85,Burglary,01/29/2025 22:17,01/29/2025 22:17,Woolf Avenue Court Apartments,Active - UI Police
CRM-2025-83,Simple Assault,01/29/2025 18:12,01/29/2025 18:12,General Hospital,Inactive
CRM-2025-82,Aggravated Assault,01/29/2025 09:12,01/29/2025 09:12,General Hospital,Inactive
CRM-2025-79,Trespass x2,01/29/2025 03:12,01/29/2025 03:12,Kinnick Stadium,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-78,Trespass,01/28/2025 20:56,01/28/2025 20:56,Rienow Hall,Inactive
CSA-2025-126,Rape x2,01/28/2025 11:05,01/28/2025 11:05,Campus,Closed - Referred to Title IX Coordinator
CSA-2025-138,Stalking,Between 01/28/2025 00:00 and 01/28/2025 23:59,01/29/2025 14:49,Boyd Law Building,Closed - Referred to Title IX Coordinator
CRM-2025-77,Theft,Between 01/27/2025 23:00 and 01/28/2025 09:00,01/28/2025 10:29,General Hospital,Inactive
CRM-2025-110,"Harassment, Stalking",Between 01/27/2025 20:00 and 02/03/2025 20:00,02/05/2025 20:22,English-Philosophy Building,Active - UI Police
CRM-2025-80,Invasion of Privacy,Between 01/27/2025 15:03 and 01/27/2015 15:31,01/27/2025 15:31,University Capitol Centre,Inactive
CRM-2025-75,Aggravated Assault,01/27/2025 14:32,01/27/2025 14:32,General Hospital,Active - UI Police
CRM-2025-106,Theft,Between 01/27/2025 14:00 and 01/28/2025 15:15,02/05/2025 09:46,Iowa Memorial Union,Inactive
CRM-2025-73,"Criminal Mischief, Simple Assault",01/27/2025 11:47,01/27/2025 11:47,General Hospital,Closed - Suspect Arrested
CRM-2025-72,Criminal Mischief,01/27/2025 08:36,01/27/2025 08:36,Newton Road Ramp,Inactive
CSA-2025-127,Stalking,Between 01/27/2025 08:00 and 01/29/2025 11:30,01/29/2025 12:13,Campus,Closed - Referred to Office of Student Accountability
CRM-2025-67,"Interference with Official Acts, Public Intoxication",01/27/2025 01:08,01/27/2025 01:08,Main Library,Closed - Suspect Arrested
CSA-2025-134,Fondling,Between 01/27/2025 00:00 and 01/27/2025 23:59,01/29/2025 08:58,General Hospital,Closed - Referred to Title IX Coordinator
CRM-2025-71,Robbery,01/26/2025 22:27,01/26/2025 22:27,"204 N Dubuque St, Casey's",Referred to University - Other
CRM-2025-66,Theft,01/26/2025 20:50,01/26/2025 20:50,Carver-Hawkeye Arena,Unfounded
CRM-2025-65,Aggravated Assault,01/26/2025 16:15,01/26/2025 16:26,General Hospital,Inactive
CRM-2025-76,Theft,Between 01/26/2025 15:00 and 01/27/2025 15:00,01/27/2025 16:22,General Hospital,Inactive
CRM-2025-69,"Criminal Mischief, Hate Crime",Between 01/26/2025 00:00 and 01/26/2025 06:00,01/26/2025 11:10,East Side Residential Hall,Inactive
CRM-2025-64,Criminal Mischief,01/25/2025 23:54,01/25/2025 23:54,General Hospital,Inactive
CRM-2025-63,Liquor Law Violations,01/25/2025 23:40,01/25/2025 23:40,Burge Hall,Closed - Referred to Office of Student Accountability
CSA-2025-124,Liquor Law Violations x6,01/25/2025 21:15,01/25/2025 22:25,Catlett Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-62,Simple Assault,01/25/2025 16:30,01/25/2025 16:36,General Hospital,Inactive
CRM-2025-61,Criminal Mischief,Between 01/25/2025 14:50 and 01/25/2025 15:03,01/25/2025 15:03,General Hospital,Inactive
CRM-2025-60,Simple Assault,01/25/2025 11:51,01/25/2025 11:51,General Hospital,Inactive
CRM-2025-59,Simple Assault,01/24/2025 21:38,01/24/2025 21:38,General Hospital,Inactive
CRM-2025-70,Simple Assault,01/24/2025 16:01,01/24/2025 16:01,General Hospital,Inactive
CRM-2025-68,Harassment x2,Between 01/24/2025 15:30 and 01/24/2025 16:30,01/24/2025 17:05,Mayflower Hall,Inactive
CRM-2025-58,Simple Assault,01/24/2025 13:35,01/24/2025 14:32,General Hospital,Inactive
CRM-2025-81,Harassment,01/24/2025 13:21,01/24/2025 13:21,General Hospital,Inactive
CRM-2025-53,"Disorderly - Public Urination, Falsify Driver's License, Public Intoxication",01/24/2025 03:35,01/24/2025 03:35,Mayflower Hall,Closed - Suspect Arrested
CRM-2025-54,"Driving Under the Influence, Habitual Offender",01/24/2025 02:34,01/24/2025 02:34,200 BLK N MADISON ST,Closed - Suspect Arrested
CRM-2025-55,"Falsify Driver's License, Liquor Law Violations",01/23/2025 23:21,01/23/2025 23:21,10 BLK S MADISON ST,Closed - Referred to Office of Student Accountability
CRM-2025-104,Trespass x2,01/23/2025 00:46,01/23/2025 00:46,Kinnick Stadium,Inactive
CRM-2025-52,Intimidation,01/22/2025 15:07,01/22/2025 15:07,Health Care Support Services Building,Inactive
CRM-2025-51,Simple Assault x3,01/22/2025 12:56,01/22/2025 12:56,General Hospital,Inactive
CRM-2025-74,Theft,01/21/2025 23:00,01/27/2025 12:54,General Hospital,Inactive
CRM-2025-48,Theft,Between 01/21/2025 19:00 and 01/21/2025 21:30,01/22/2025 07:50,Lot 46,Active - UI Police
CRM-2025-45,"Criminal Mischief, Theft",Between 01/21/2025 18:15 and 01/21/2025 22:17,01/21/2025 22:22,Lot 75 - Arena Commuter Lot Shelter,Inactive
CRM-2025-50,Theft,Between 01/21/2025 18:00 and 01/21/2025 19:40,01/22/2025 12:48,Campus Recreation and Wellness Center,Inactive
CRM-2025-46,Simple Assault,01/21/2025 11:00,01/21/2025 11:28,General Hospital,Inactive
CRM-2025-43,Driving Under the Influence,01/21/2025 01:50,01/21/2025 01:50,800 BLK N DUBUQUE ST,Closed - Suspect Arrested
CRM-2025-57,Theft,Between 01/20/2025 18:00 and 01/20/2025 19:15,01/24/2025 13:37,304 Grand Avenue,Active - UI Police
CRM-2025-41,Simple Assault,01/20/2025 09:45,01/20/2025 10:00,General Hospital,Inactive
CSA-2025-102,Burglary,01/20/2025 05:45,01/20/2025 19:25,Catlett Residence Hall,Closed - Referred to Office of Student Accountability
CRM-2025-40,Liquor Law Violations,01/20/2025 02:39,01/20/2025 02:39,Stanley Hall,Closed - Referred to Office of Student Accountability
CRM-2025-44,Driving While License Revoked,01/19/2025 01:55,01/19/2025 01:55,100 BLK W GRAND AVE,Closed - Suspect Arrested
CRM-2025-39,Drug/Narcotic Violation,01/19/2025 00:59,01/19/2025 00:59,Burge Hall,Closed - Referred to Office of Student Accountability
CRM-2025-42,Driving Under the Influence,01/18/2025 21:32,01/18/2025 21:32,10 BLK N MADISON ST,Closed - Suspect Arrested
CRM-2025-38,Public Intoxication,01/18/2025 21:16,01/18/2025 21:16,100 BLK E BURLINGTON ST,Inactive
CRM-2025-37,Simple Assault x2,01/17/2025 16:25,01/17/2025 16:25,General Hospital,Inactive
CRM-2025-31,Simple Assault x2,Between 01/15/2025 19:25 and 01/15/2025 19:30,01/15/2025 19:35,General Hospital,Inactive
CRM-2025-30,Simple Assault,Between 01/15/2025 11:40 and 01/15/2025 11:50,01/15/2025 11:50,General Hospital,Inactive
CRM-2025-32,Theft,Between 01/14/2025 18:00 and 01/16/2025 14:27,01/16/2025 14:27,"301 N Clinton Street, bike rack",Inactive
CRM-2025-27,Fondling,01/13/2025 15:10,01/13/2025 15:10,General Hospital,Inactive
CRM-2025-264,"Aggravated Assault, Domestic Violence",01/13/2025 15:01,03/21/2025 15:01,General Hospital,Active - UI Police
CRM-2025-29,Theft,Between 01/13/2025 01:30 and 01/14/2025 10:53,01/14/2025 10:53,General Hospital,Inactive
CSA-2025-100,Aggravated Assault,01/12/2025 17:28,01/12/2025 17:29,General Hospital,Referred to University - Other
CRM-2025-25,Simple Assault,01/11/2025 21:00,01/11/2025 21:08,General Hospital,Inactive
CRM-2025-26,"Criminal Mischief, Theft",Between 01/11/2025 11:56 and 01/11/2025 12:55,01/13/2025 00:07,Hillcrest Hall,Inactive
CRM-2025-24,Theft,Between 01/10/2025 13:00 and 01/10/2025 15:00,01/10/2025 15:26,General Hospital,Inactive
CRM-2025-49,Theft,Between 01/09/2025 22:00 and 01/09/2025 22:00,01/22/2025 10:17,Hospital Parking Ramp 3,Unfounded
CRM-2025-23,Simple Assault,01/09/2025 12:23,01/09/2025 12:23,General Hospital,Inactive
CRM-2025-21,Simple Assault x2,01/09/2025 00:15,01/09/2025 00:15,General Hospital,Inactive
CRM-2025-22,Theft,Between 01/07/2025 18:45 and 01/07/2025 22:00,01/09/2025 11:03,Carver-Hawkeye Arena,Inactive
CRM-2025-20,Harassment,01/07/2025 17:53,01/07/2025 17:53,General Hospital,Inactive
CRM-2025-18,Criminal Mischief,Between 01/07/2025 17:20 and 01/07/2025 17:23,01/07/2025 17:23,General Hospital,Inactive
CRM-2025-17,"Harassment, Stalking",01/07/2025 13:17,01/07/2025 13:17,Carver-Hawkeye Arena,Inactive
CRM-2025-16,Aggravated Assault,Between 01/07/2025 11:57 and 01/07/2025 12:00,01/07/2025 12:07,General Hospital,Inactive
CRM-2025-14,Fondling,01/05/2025 16:39,01/05/2025 16:39,Carver-Hawkeye Arena,Inactive
CRM-2025-15,Simple Assault,Between 01/05/2025 10:45 and 01/05/2025 11:00,01/06/2025 08:31,General Hospital,Inactive
CRM-2025-12,Simple Assault,01/04/2025 09:00,01/04/2025 09:50,General Hospital,Inactive
CRM-2025-13,Criminal Mischief,01/03/2025 08:06,01/03/2025 08:06,"East Parking Lot, Oakdale",Inactive
CSA-2025-130,Disorderly Conduct,Between 01/03/2025 00:00 and 01/03/2025 23:05,01/14/2025 08:00,Bettendorf - Lincoln Road,Referred to University - Other
CRM-2025-8,Trespass,01/02/2025 15:16,01/02/2025 15:16,Biology Building,Closed - Suspect Issued Criminal Trespass Warning
CRM-2025-9,Liquor Law Violations,01/02/2025 13:51,01/02/2025 13:51,100 BLK S RIVERSIDE DR,Inactive
CRM-2025-11,False Reports,01/02/2025 12:08,01/02/2025 12:08,Lindquist Center,Inactive
CSA-2025-129,Theft,01/02/2025 11:43,01/13/2025 08:31,General Hospital,Referred to University - Other
CRM-2025-10,"Domestic Violence, Simple Assault",01/02/2025 04:00,01/02/2025 07:38,General Hospital,Inactive
CSA-2025-121,"Harassment, Simple Assault",01/01/2025 22:30,01/03/2025 16:19,UI Health Care Medical Center Downtown,Inactive
CRM-2025-6,Criminal Mischief,01/01/2025 20:32,01/01/2025 20:32,North Campus Parking Ramp,Inactive
CRM-2025-3,Driving Under the Influence,01/01/2025 19:12,01/01/2025 19:12,100 BLK W BURLINGTON ST,Closed - Suspect Arrested
CRM-2025-7,Indecent Exposure,01/01/2025 19:00,01/02/2025 06:14,General Hospital,Inactive
CRM-2025-4,"Driving Under the Influence, Habitual Offender",01/01/2025 02:13,01/01/2025 02:13,200 BLK E BURLINGTON ST,Closed - Suspect Arrested
CSA-2025-153,Stalking,Between 01/01/2025 00:00 and 02/12/2025 23:59,02/13/2025 08:00,,Referred to University - Other
